Region,Employment Status,Income,Number of Child(ren),Tax,Religion,Gender
South,Employed,97.02,3,13.507,Islam,Female
South,Employed,18.64,2,2.26,Islam,Male
West,Employed,378.88,4,50.994,Islam,Male
West,Employed,276.18,1,46.637,Islam,Female
West,Employed,425,1,27.914,Islam,Male
West,Unemployed,140.2,5,13.242,Christianity,Female
West,Unemployed,19.86,1,1.07,Christianity,Male
West,Self Employed,1731.1,5,67.244,Christianity,Male
West,Self Employed,687.4,7,42.258,Christianity,Female
West,Self Employed,303.84,3,20.309,Christianity,Male
North,Employed,145.76,4,14.259,Islam,Female
West,Self Employed,97.2,5,6.943,Christianity,Male
West,Self Employed,161.36,2,3.013,Christianity,Male
West,Self Employed,42.1,5,2.502,Christianity,Female
West,Employed,37.32,3,2.476,Christianity,Male
West,Self Employed,22.6,2,1.408,Christianity,Female
West,Self Employed,607.9,5,44.904,Christianity,Male
East,Employed,138.16,4,28.685,Islam,Male
North,Employed,980.32,2,276.713,Christianity,Female
East,Employed,1264.466,5,253.254,Islam,Male
East,Unemployed,2124.5,5,221.92,Islam,Female
East,Unemployed,576.2,5,150.876,Atheist,Male
South,Self Employed,439.92,6,148.136,Atheist,Male
West,Self Employed,795.6,6,133.059,Islam,Female
West,Employed,1761.8692,7,120.855,Christianity,Male
West,Self Employed,1516.28136,6,118.617,Christianity,Female
North,Self Employed,381.76,4,110.329,Atheist,Male
North,Employed,526.40508,3,109.361,Islam,Male
West,Unemployed,961.43328,6,95.037,Christianity,Female
West,Self Employed,1380.1,5,94.627,Christianity,Male
West,Unemployed,850,2,94.056,Christianity,Female
West,Employed,1324.88,4,87.285,Christianity,Male
East,Self Employed,269.64,7,83.416,Atheist,Male
North,Self Employed,2615.94,9,82.809,Christianity,Female
West,Employed,716.40432,9,78.524,Islam,Male
East,Self Employed,928.256,2,77.026,Atheist,Female
North,Unemployed,332,5,62.547,Islam,Male
North,Employed,302.08,4,55.09,Christianity,Male
West,Self Employed,572.52,6,52.167,Christianity,Female
East,Employed,333.9,3,51.527,Islam,Male
West,Unemployed,456.66,9,50.93,Islam,Female
West,Employed,524.896,2,46.475,Christianity,Male
West,Self Employed,454.6,5,45.439,Christianity,Male
East,Self Employed,211.12,7,42.132,Atheist,Female
West,Self Employed,586.5246,3,41.559,Christianity,Male
South,Employed,212.04,6,39.132,Atheist,Female
North,Employed,333.8,5,38.998,Islam,Male
West,Unemployed,811.72,7,37.725,Christianity,Male
North,Employed,631.91364,3,37.715,Christianity,Female
East,Self Employed,358.96,4,35.779,Christianity,Male
North,Unemployed,487.6,5,34.277,Islam,Female
West,Self Employed,391.58,7,34.043,Islam,Male
East,Self Employed,503.5908,2,33.064,Atheist,Male
North,Employed,289.92,3,32.97,Christianity,Female
West,Self Employed,203.2,10,32.227,Islam,Male
West,Self Employed,378.88,4,30.778,Christianity,Female
West,Employed,394.72896,4,30.509,Christianity,Male
West,Unemployed,384.11024,4,30.205,Christianity,Male
West,Employed,277.14,3,28.134,Christianity,Female
West,Employed,347.88,3,28.101,Christianity,Male
West,Self Employed,489.27948,3,27.903,Christianity,Female
South,Self Employed,176.38652,1,26.956,Atheist,Male
West,Self Employed,344.64,3,26.202,Christianity,Male
West,Employed,341.6,5,25.723,Christianity,Female
West,Unemployed,293.44,4,25.671,Christianity,Male
West,Employed,225.6,2,22.153,Christianity,Female
North,Self Employed,91.92,3,19.904,Islam,Male
South,Self Employed,99.3,5,19.198,Atheist,Male
West,Self Employed,336.96,2,18.188,Christianity,Female
North,Self Employed,177.48,2,18.084,Islam,Male
West,Self Employed,292.64,4,17.875,Christianity,Female
West,Self Employed,341.52,2,17.341,Christianity,Male
West,Unemployed,396.9,3,17.202,Islam,Male
East,Employed,40.98,3,16.944,Atheist,Female
West,Employed,259.74,3,16.554,Christianity,Male
West,Employed,206.26,1,16.234,Christianity,Female
West,Employed,173.2,5,15.283,Christianity,Male
South,Employed,40.8,4,15.068,Atheist,Male
West,Unemployed,200.76,7,14.911,Christianity,Female
West,Employed,108.48,3,13.799,Traditional,Male
West,Self Employed,225.28,4,13.726,Christianity,Female
West,Self Employed,94.08,3,13.302,Islam,Male
West,Self Employed,199.12,2,11.841,Islam,Male
North,Unemployed,48.86,1,11.495,Islam,Female
North,Self Employed,137.04,4,11.465,Christianity,Male
West,Self Employed,103.2,6,11.429,Islam,Female
North,Employed,126.8,4,11.078,Christianity,Male
West,Employed,170.64,3,11.075,Christianity,Male
South,Employed,35.8,5,11.058,Atheist,Female
North,Self Employed,87.42,3,9.555,Islam,Male
West,Self Employed,121.2,6,9.236,Christianity,Female
West,Unemployed,112,8,8.988,Christianity,Male
West,Self Employed,194.74,7,8.892,Christianity,Male
West,Self Employed,101.52,2,8.831,Christianity,Female
North,Employed,93.12,4,8.327,Christianity,Male
West,Unemployed,97.26,3,8.324,Islam,Female
North,Self Employed,454.24,4,7.884,Christianity,Male
West,Self Employed,150.3,5,7.791,Christianity,Male
East,Employed,74.8,1,7.312,Islam,Female
North,Self Employed,30.96,3,7.056,Christianity,Male
West,Self Employed,97.36,4,6.863,Christianity,Female
East,Self Employed,37.38,3,6.652,Islam,Male
East,Employed,44.6,5,6.352,Atheist,Male
East,Employed,58.74,3,6.336,Islam,Female
West,Self Employed,80,4,5.965,Christianity,Male
West,Employed,49.38,3,5.946,Traditional,Female
West,Employed,100.54,1,5.717,Christianity,Male
East,Self Employed,27.5,5,5.507,Atheist,Male
East,Unemployed,32.68,2,5.493,Islam,Female
West,Self Employed,35.76,3,5.057,Islam,Male
West,Self Employed,63.9,3,4.998,Christianity,Female
West,Self Employed,35.32,1,4.948,Islam,Male
West,Unemployed,43.98,3,4.619,Islam,Male
East,Employed,22.6,2,4.164,Islam,Female
East,Unemployed,59.1,3,4.134,Christianity,Male
West,Self Employed,56.12,2,4.108,Christianity,Female
West,Self Employed,60.32,2,4.06,Christianity,Male
West,Employed,31.36,7,3.982,Islam,Male
West,Self Employed,85.12,8,3.965,Christianity,Female
East,Unemployed,15.74,1,3.937,Atheist,Male
West,Self Employed,43.58,1,3.862,Christianity,Female
East,Employed,21.9,3,3.827,Atheist,Male
West,Self Employed,43.12,7,3.729,Islam,Male
West,Employed,30.56,4,3.499,Islam,Female
West,Self Employed,31.6,2,3.361,Islam,Male
West,Self Employed,36.9,5,3.339,Christianity,Female
West,Self Employed,105.72,6,3.183,Christianity,Male
East,Unemployed,26,5,3.07,Islam,Male
West,Unemployed,41.72,7,2.854,Christianity,Female
West,Self Employed,43.68,6,2.821,Christianity,Male
West,Self Employed,40.88,7,2.77,Christianity,Female
West,Self Employed,43.56,2,2.556,Christianity,Male
West,Self Employed,53.4,2,2.507,Christianity,Male
East,Self Employed,69.84,6,2.475,Christianity,Female
East,Unemployed,19.2,3,2.455,Christianity,Male
North,Unemployed,13.14,3,2.398,Islam,Female
East,Employed,31.92,3,2.394,Christianity,Male
West,Employed,20.96,4,2.299,Christianity,Male
West,Unemployed,37.28,4,2.263,Christianity,Female
West,Employed,21.52,4,2.232,Islam,Male
West,Employed,18.6,2,2.214,Christianity,Female
West,Employed,35.5,5,2.214,Christianity,Male
South,Self Employed,12.04,2,2.159,Atheist,Male
North,Employed,5.64,1,2.053,Christianity,Female
West,Self Employed,31.2,2,2.044,Christianity,Male
West,Employed,36.72,3,2.011,Christianity,Female
West,Self Employed,52.92,7,1.895,Christianity,Male
West,Self Employed,13.26,3,1.895,Christianity,Male
West,Self Employed,6.4,2,1.875,Islam,Female
West,Self Employed,17.58,3,1.816,Islam,Male
North,Self Employed,16.48,2,1.785,Christianity,Female
West,Unemployed,35.76,3,1.703,Christianity,Male
West,Self Employed,24,3,1.667,Christianity,Male
West,Unemployed,21.06,3,1.614,Christianity,Female
North,Self Employed,7.98,3,1.594,Christianity,Male
East,Unemployed,10.7,1,1.535,Christianity,Female
East,Employed,26.88,4,1.519,Christianity,Male
West,Self Employed,10.4,2,1.491,Christianity,Male
East,Employed,24.44,2,1.488,Christianity,Female
West,Self Employed,21.14,7,1.434,Christianity,Male
West,Unemployed,112.52,2,1.416,Christianity,Female
North,Self Employed,21.96,3,1.343,Christianity,Male
West,Self Employed,22.68,3,1.299,Christianity,Male
West,Employed,14.76,2,1.213,Christianity,Female
West,Self Employed,47.3,5,1.172,Christianity,Male
West,Self Employed,12.06,3,1.134,Christianity,Female
West,Employed,61.6,2,5.459,Christianity,Male
West,Employed,16.48,2,1.362,Christianity,Male
West,Self Employed,463.84,4,77.614,Traditional,Female
West,Self Employed,252,3,17.799,Christianity,Male
West,Self Employed,114.78,3,14.512,Traditional,Female
West,Employed,128.8,8,12.065,Christianity,Male
West,Employed,99.3,5,10.949,Christianity,Male
West,Self Employed,44.8,5,7.056,Traditional,Female
West,Employed,85.5,3,4.054,Christianity,Male
West,Employed,101.58,3,3.789,Christianity,Female
West,Employed,21.96,3,1.743,Christianity,Male
West,Self Employed,18.42,1,1.343,Christianity,Male
West,Self Employed,664.36,2,69.981,Christianity,Female
West,Self Employed,381.6,8,25.449,Christianity,Male
West,Unemployed,54.66,3,4.598,Christianity,Female
East,Unemployed,184.76,2,28.445,Islam,Male
East,Unemployed,32.88,3,7.549,Islam,Male
East,Unemployed,39.32,2,6.227,Islam,Female
East,Unemployed,44.52,3,4.203,Islam,Male
East,Unemployed,25.6,4,2.019,Islam,Female
West,Self Employed,240.1,7,11.763,Christianity,Male
North,Unemployed,757.2,2,104.693,Islam,Male
West,Employed,112.86,11,12.642,Christianity,Female
West,Employed,108.48,3,9.64,Islam,Male
West,Employed,45,6,5.697,Islam,Female
West,Employed,29.64,2,3.962,Islam,Male
East,Employed,26.94,3,2.771,Islam,Male
West,Employed,25.14,3,1.591,Islam,Female
West,Employed,18.92,2,1.098,Christianity,Male
North,Self Employed,897.48,9,374.376,Atheist,Female
East,Unemployed,168.48,1,37.865,Atheist,Male
East,Unemployed,47.96,2,14.051,Atheist,Male
East,Unemployed,21.48,2,4.974,Atheist,Female
East,Unemployed,8.74,1,1.869,Atheist,Male
West,Unemployed,795.6,6,99.623,Christianity,Female
West,Self Employed,447.74272,4,59.641,Islam,Male
West,Unemployed,820.7,5,52.514,Christianity,Male
West,Unemployed,583.12,2,25.339,Christianity,Female
West,Unemployed,140.94,3,14.688,Christianity,Male
West,Unemployed,436.32,4,11.237,Christianity,Female
West,Employed,51.9,5,3.401,Christianity,Male
West,Unemployed,5.92,1,1.571,Christianity,Male
West,Unemployed,13.44,2,1.003,Christianity,Female
West,Self Employed,101.88,9,10.764,Islam,Male
West,Self Employed,16.24,4,1.474,Islam,Female
North,Unemployed,340.86,3,80.122,Atheist,Male
North,Unemployed,325.36,2,78.499,Atheist,Male
South,Self Employed,303.3,9,42.793,Christianity,Female
South,Self Employed,236.76,6,42.698,Christianity,Male
North,Unemployed,138.4,4,18.215,Atheist,Female
North,Employed,66.36,2,15.497,Christianity,Male
North,Employed,54.12,3,14.2,Christianity,Male
East,Unemployed,35.34,3,7.046,Islam,Female
West,Employed,76.08,3,4.554,Christianity,Male
West,Employed,2751.2,10,203.132,Christianity,Female
West,Employed,230.16,2,32.499,Islam,Male
West,Employed,286.8,3,16.194,Islam,Male
North,Self Employed,58.3,5,15.566,Atheist,Female
West,Employed,240.16,2,15.24,Christianity,Male
West,Employed,74.08,2,10.552,Islam,Female
West,Employed,100.26,3,6.64,Christianity,Male
West,Employed,88.6,5,6.579,Christianity,Male
West,Unemployed,39.84,2,2.866,Christianity,Female
West,Employed,8.6,2,1.187,Islam,Male
East,Self Employed,18.16,2,2.777,Islam,Female
West,Unemployed,511.68,4,49.58,Christianity,Male
West,Self Employed,153.12,1,25.6,Islam,Male
West,Self Employed,26.37,1,5.1,Islam,Female
West,Self Employed,17.88,2,2.54,Islam,Male
West,Employed,176.43,1,12.7,Christianity,Female
West,Employed,17.34,1,1.29,Christianity,Male
North,Self Employed,14.82,1,2.05,Islam,Male
West,Self Employed,56.46,1,4.02,Christianity,Female
North,Unemployed,114.6,10,38.95,Atheist,Male
North,Self Employed,198.39,1,38.5,Islam,Female
North,Self Employed,100.5,2,26.22,Islam,Male
West,Unemployed,211.65,1,16.24,Christianity,Male
West,Self Employed,45.09,1,6.39,Islam,Female
West,Unemployed,118.68,4,3.81,Christianity,Male
East,Self Employed,79.92,6,3.39,Atheist,Female
East,Self Employed,18.93,1,2.62,Atheist,Male
North,Self Employed,10.89,1,1.83,Islam,Male
East,Unemployed,1272.6,2,123.03,Christianity,Female
West,Unemployed,85.5,2,16.91,Traditional,Male
South,Employed,391.86,2,11.81,Christianity,Female
West,Self Employed,6.12,1,1.19,Christianity,Male
North,Employed,782.28,2,172.29,Christianity,Male
West,Self Employed,1811.34,6,133.55,Christianity,Female
West,Self Employed,546,4,39.47,Christianity,Male
West,Self Employed,338.7,2,39.31,Christianity,Female
East,Self Employed,278.88,2,38.86,Islam,Male
North,Self Employed,364.5,6,37.49,Islam,Male
North,Self Employed,168.6,4,37.15,Islam,Female
West,Unemployed,260.34,1,28.43,Traditional,Male
West,Self Employed,393.6,8,23.89,Christianity,Female
North,Self Employed,105.12,8,23.06,Christianity,Male
West,Self Employed,305.37,1,22.38,Christianity,Male
West,Self Employed,360.24,2,21.93,Christianity,Female
West,Self Employed,316.8,12,20.02,Christianity,Male
West,Self Employed,678.72,4,16.24,Christianity,Female
West,Employed,249.57,1,15.98,Islam,Male
East,Self Employed,59.58,2,12.8,Islam,Male
East,Employed,74.52,1,12.47,Islam,Female
East,Self Employed,70.47,1,9.49,Christianity,Male
North,Self Employed,48.96,1,9.03,Atheist,Female
West,Self Employed,144.33,1,8.68,Christianity,Male
North,Self Employed,25.38,2,8.23,Atheist,Male
West,Self Employed,107.52,4,7.04,Christianity,Female
East,Self Employed,84.84,2,6.7,Islam,Male
North,Employed,48.63,1,5.77,Christianity,Female
East,Self Employed,38.28,2,4.25,Islam,Male
South,Unemployed,48.45,1,3.9,Islam,Male
West,Unemployed,53.73,1,3.17,Christianity,Female
North,Self Employed,16.14,1,3.17,Christianity,Male
West,Self Employed,54.9,1,3,Christianity,Female
North,Employed,61.08,2,2.74,Christianity,Male
West,Self Employed,62.61,1,2.3,Christianity,Male
West,Unemployed,23.82,2,2.08,Traditional,Female
West,Self Employed,14.7,1,1.98,Christianity,Male
West,Self Employed,23.91,1,1.97,Christianity,Female
West,Self Employed,19.56,4,1.56,Christianity,Male
West,Self Employed,6.78,1,1.52,Christianity,Male
West,Unemployed,26.25,1,1.49,Christianity,Female
West,Employed,3.99,1,1.35,Christianity,Male
West,Employed,13.38,1,1.25,Christianity,Female
West,Unemployed,14.22,1,1.09,Traditional,Male
North,Self Employed,58.83,1,14.78,Islam,Male
East,Self Employed,303.96,2,55.96,Islam,Female
West,Self Employed,496.44,4,28.73,Christianity,Male
North,Self Employed,62.16,1,22.69,Islam,Female
South,Employed,99.6,2,19.59,Atheist,Male
West,Self Employed,1195.56,6,13.68,Christianity,Male
East,Self Employed,56.46,1,9.79,Islam,Female
North,Self Employed,48.3,1,7.74,Islam,Male
West,Self Employed,62.4,2,6.16,Christianity,Female
North,Self Employed,53.7,1,2.07,Islam,Male
North,Self Employed,14.49,1,1.47,Islam,Male
West,Self Employed,638.91,1,30.66,Christianity,Female
West,Self Employed,1926.72,8,130.88,Christianity,Male
West,Self Employed,925.23,1,89.9,Christianity,Female
West,Self Employed,256.56,1,23.22,Christianity,Male
West,Self Employed,142.38,1,12.15,Christianity,Male
West,Self Employed,215.52,8,5.66,Christianity,Female
West,Self Employed,87.72,2,3.92,Christianity,Male
West,Self Employed,217.02,2,12.83,Christianity,Female
West,Self Employed,50.7,2,5.68,Islam,Male
West,Self Employed,2673.36,8,432.57,Islam,Male
West,Self Employed,1559.16,4,193.56,Islam,Female
East,Self Employed,1314.45,3,85.83,Christianity,Male
North,Self Employed,891.99,11,83.61,Christianity,Female
West,Self Employed,651.96,6,79.75,Islam,Male
East,Employed,344.34,6,79.07,Atheist,Male
West,Unemployed,1330.29,3,78.66,Christianity,Female
West,Employed,639.66,2,77.12,Islam,Male
West,Self Employed,1078.08,2,72.55,Christianity,Female
East,Employed,871.08,7,65.84,Christianity,Male
North,Self Employed,218.52,3,61.86,Islam,Male
West,Self Employed,512.91,3,59.78,Christianity,Female
East,Self Employed,378.39,1,51.9,Islam,Male
North,Self Employed,245.22,2,45.8,Christianity,Female
West,Self Employed,1151.22,7,43.74,Christianity,Male
West,Self Employed,422.82,3,37.92,Christianity,Male
East,Employed,617.1,5,36.38,Christianity,Female
West,Unemployed,899.82,3,34.24,Christianity,Male
East,Self Employed,108.9,5,25.27,Islam,Female
North,Self Employed,130.23,3,22.34,Christianity,Male
East,Employed,159.66,2,20.32,Islam,Male
East,Self Employed,121.59,1,14.99,Islam,Female
West,Employed,90.3,2,14.03,Islam,Male
West,Unemployed,93.45,5,12.71,Islam,Female
East,Employed,49.08,2,10.73,Islam,Male
West,Self Employed,55.35,5,9.23,Islam,Male
East,Employed,97.68,2,8.71,Islam,Female
East,Self Employed,137.16,1,8.28,Christianity,Male
West,Self Employed,43.98,1,8.09,Islam,Female
North,Self Employed,115.5,2,6.26,Christianity,Male
West,Unemployed,75.9,5,5.5,Christianity,Male
East,Self Employed,46.62,6,5.13,Islam,Female
West,Unemployed,87.66,6,3.76,Christianity,Male
East,Self Employed,14.28,1,2.95,Islam,Female
West,Self Employed,22.92,2,2.85,Islam,Male
West,Unemployed,22.68,2,2.72,Islam,Male
North,Self Employed,34.38,3,2.69,Christianity,Female
West,Self Employed,49.5,3,2.6,Christianity,Male
East,Self Employed,26.1,3,2.44,Islam,Female
East,Employed,11.61,3,2.41,Islam,Male
West,Self Employed,20.16,3,2.4,Christianity,Male
West,Employed,23.22,2,2.25,Christianity,Female
West,Self Employed,9.84,1,1.88,Islam,Male
North,Self Employed,11.4,2,1.56,Christianity,Female
North,Self Employed,16.5,2,1.46,Christianity,Male
West,Employed,480.03,1,38.71,Christianity,Male
North,Self Employed,96,2,21.1,Atheist,Female
West,Employed,47.4,2,5.89,Traditional,Male
West,Self Employed,48.33,1,4.88,Christianity,Female
West,Unemployed,58.74,2,2.62,Christianity,Male
West,Unemployed,33.18,2,2.06,Christianity,Male
West,Unemployed,10.41,1,1.47,Christianity,Female
North,Self Employed,1840.68,6,359.58,Atheist,Male
North,Self Employed,976.08,4,316.66,Atheist,Female
West,Unemployed,2453.04,8,189.54,Christianity,Male
South,Self Employed,1037.52,2,143.66,Atheist,Male
West,Self Employed,1519.14,14,129.28,Christianity,Female
South,Self Employed,351.9,2,104.28,Atheist,Male
North,Self Employed,246.6,2,94.38,Atheist,Female
North,Unemployed,209.76,2,39.45,Islam,Male
North,Self Employed,204.63,1,37.84,Atheist,Male
West,Unemployed,533.22,2,34.49,Christianity,Female
North,Self Employed,192.78,1,30.39,Atheist,Male
West,Unemployed,166.71,1,29.14,Traditional,Female
West,Employed,506.04,4,28.4,Christianity,Male
South,Self Employed,195.72,4,26.73,Atheist,Male
West,Employed,212.1,1,22.4,Islam,Female
North,Self Employed,44.7,1,15.7,Atheist,Male
West,Unemployed,211.62,1,12.23,Christianity,Female
West,Self Employed,115.2,4,12.05,Islam,Male
West,Employed,62.61,1,11.06,Islam,Male
West,Employed,143.1,2,10.12,Islam,Female
West,Unemployed,85.32,6,10.05,Islam,Male
West,Self Employed,69.84,2,9.76,Traditional,Female
West,Self Employed,120.84,4,9.31,Christianity,Male
South,Self Employed,55.14,1,7.86,Atheist,Male
East,Self Employed,59.22,2,7.84,Islam,Female
West,Self Employed,175.68,4,7.71,Christianity,Male
North,Unemployed,30.48,4,5.82,Islam,Female
East,Employed,24.96,2,4.57,Islam,Male
South,Self Employed,40.29,1,3.82,Islam,Male
North,Unemployed,35.22,2,3.76,Islam,Female
West,Unemployed,40.14,6,3.38,Christianity,Male
West,Employed,23.97,1,2.11,Traditional,Female
South,Self Employed,6.03,1,2.04,Atheist,Male
West,Unemployed,24.78,1,1.9,Christianity,Male
West,Self Employed,25.23,1,1.85,Christianity,Female
West,Unemployed,8.64,1,1.7,Islam,Male
West,Self Employed,18.72,1,1.57,Christianity,Female
West,Self Employed,10.89,1,1.54,Christianity,Male
West,Employed,10.77,1,1.44,Traditional,Male
West,Self Employed,20.58,2,1.34,Islam,Female
West,Unemployed,40.83,1,1.33,Christianity,Male
West,Employed,465,1,43.72,Christianity,Female
West,Self Employed,520.68,2,30.83,Christianity,Male
East,Employed,150.12,1,26.64,Islam,Male
West,Employed,136.68,1,17.04,Christianity,Female
East,Employed,30.93,1,6.31,Islam,Male
West,Self Employed,30.3,1,2.57,Christianity,Female
East,Unemployed,11.25,1,1.84,Christianity,Male
West,Self Employed,69.54,1,6.05,Christianity,Male
East,Unemployed,56.82,1,3.62,Islam,Female
West,Self Employed,137.4,1,13.26,Islam,Male
West,Employed,11.85,1,1.62,Christianity,Female
West,Self Employed,146.76,1,8.87,Christianity,Male
West,Self Employed,47.19,1,1.89,Christianity,Male
West,Unemployed,272.76,2,21.62,Christianity,Female
West,Unemployed,127.92,1,7.8,Christianity,Male
West,Self Employed,69.57,1,3.79,Christianity,Female
West,Self Employed,9.69,1,1.71,Christianity,Male
West,Employed,22.5,2,1.38,Christianity,Male
North,Self Employed,166.62,2,49.11,Atheist,Female
West,Employed,256.74,2,41.43,Islam,Male
East,Employed,245.82,2,36.83,Islam,Female
East,Employed,176.88,2,33.53,Islam,Male
North,Self Employed,80.46,1,19.16,Atheist,Male
East,Employed,108.84,4,19.14,Islam,Female
West,Self Employed,123.24,1,12.09,Christianity,Male
West,Employed,60.96,2,11.16,Islam,Female
East,Self Employed,171,6,11.06,Christianity,Male
East,Employed,122.88,4,9.98,Islam,Male
East,Employed,119.88,6,7.81,Christianity,Female
East,Employed,78.12,6,7.06,Islam,Male
East,Employed,59.58,2,5.17,Christianity,Female
East,Self Employed,50.76,4,3.13,Christianity,Male
West,Self Employed,31.56,1,2.78,Christianity,Male
West,Employed,13.32,1,1.98,Islam,Female
East,Employed,20.49,1,1.9,Christianity,Male
West,Employed,10.26,1,1.81,Islam,Female
West,Self Employed,8.25,1,1.58,Christianity,Male
East,Employed,6.09,1,1.45,Islam,Male
West,Self Employed,22.11,1,1.29,Christianity,Female
East,Unemployed,395.82,2,45.77,Christianity,Male
West,Self Employed,197.49,1,35.8,Islam,Female
West,Self Employed,394.98,2,20.69,Islam,Male
East,Unemployed,52.92,2,6.39,Islam,Male
West,Employed,31.95,1,5.81,Islam,Female
East,Self Employed,13.5,1,1.31,Islam,Male
East,Employed,136.74,1,14.62,Islam,Female
East,Employed,15.33,1,2.3,Islam,Male
East,Employed,11.55,1,1.91,Islam,Male
East,Self Employed,4.53,1,1.13,Christianity,Female
West,Self Employed,1236.96,4,119.92,Islam,Male
West,Self Employed,1250.04,4,60.45,Christianity,Female
East,Employed,74.55,1,9.83,Islam,Male
East,Employed,58.32,1,5.75,Christianity,Male
West,Self Employed,101.4,2,5.66,Christianity,Female
North,Employed,134.61,1,5.59,Christianity,Male
North,Employed,143.79,1,1.67,Christianity,Female
West,Self Employed,16.98,1,1.63,Christianity,Male
West,Self Employed,460.2,1,54.37,Islam,Male
West,Self Employed,52.92,1,5.99,Islam,Female
West,Employed,244.98,2,8.12,Christianity,Male
West,Employed,34.2,4,2.06,Christianity,Female
West,Self Employed,109.98,1,15.44,Islam,Male
West,Self Employed,829.32,4,60.81,Christianity,Male
West,Self Employed,103.56,2,6.98,Christianity,Female
West,Self Employed,106.32,2,6.24,Christianity,Male
West,Self Employed,73.05,1,4.53,Christianity,Female
West,Self Employed,127.47,1,15.77,Islam,Male
North,Self Employed,59.4,2,4.61,Christianity,Male
North,Employed,81.69,1,25.73,Atheist,Female
North,Employed,111.84,4,17.55,Atheist,Male
East,Self Employed,26.4,1,1.53,Christianity,Female
West,Unemployed,50.88,1,1.87,Christianity,Male
West,Unemployed,206.4,1,13.09,Christianity,Male
West,Unemployed,190.98,1,10.5,Christianity,Female
West,Unemployed,76.26,2,3.72,Christianity,Male
West,Unemployed,196.2,1,3.06,Christianity,Female
West,Unemployed,6.66,1,1.6,Christianity,Male
West,Self Employed,262.14,2,16.17,Christianity,Male
West,Self Employed,60.24,2,4.16,Christianity,Female
West,Unemployed,56.28,4,2.47,Christianity,Male
West,Self Employed,13.29,1,1.95,Christianity,Female
West,Self Employed,24,1,1.82,Christianity,Male
West,Self Employed,8.76,1,1.75,Christianity,Male
West,Self Employed,197.94,1,13.87,Christianity,Female
West,Self Employed,134.16,1,9.17,Christianity,Male
West,Self Employed,27.09,1,2.53,Christianity,Female
West,Self Employed,9.24,1,2.03,Christianity,Male
West,Self Employed,23.46,2,1.49,Christianity,Male
West,Unemployed,187.02,6,6.96,Christianity,Female
North,Employed,42.66,1,4.89,Christianity,Male
East,Self Employed,1513.56,4,184.84,Islam,Female
East,Self Employed,525.69,1,53.73,Islam,Male
East,Self Employed,118.44,4,18.62,Islam,Male
East,Self Employed,12.36,1,1.89,Islam,Female
East,Self Employed,13.38,2,1.08,Islam,Male
North,Self Employed,115.56,4,33.91,Atheist,Female
North,Self Employed,51.9,1,9.99,Atheist,Male
North,Self Employed,6.9,1,1.52,Atheist,Male
East,Self Employed,25.23,1,1.99,Christianity,Female
West,Unemployed,26.37,1,2.4,Christianity,Male
West,Employed,21.72,2,2.12,Islam,Female
South,Employed,198.9,1,23.32,Islam,Male
South,Employed,55.86,2,14.33,Islam,Male
South,Employed,128.43,1,7.78,Islam,Female
South,Employed,13.65,1,2.21,Islam,Male
West,Self Employed,198,4,15.51,Christianity,Female
West,Self Employed,6.84,1,1.54,Christianity,Male
East,Unemployed,27.3,2,5.59,Islam,Male
North,Employed,58.02,1,15.29,Islam,Female
North,Employed,12.24,2,2.82,Islam,Male
West,Self Employed,127.8,4,10.08,Christianity,Female
South,Self Employed,196.8,10,18.7,Christianity,Male
South,Self Employed,54.72,4,12.43,Christianity,Male
South,Self Employed,44.22,2,4.72,Christianity,Female
West,Unemployed,74.49,1,5.65,Islam,Male
East,Employed,51.78,1,4.86,Christianity,Female
East,Self Employed,617.28,2,65.33,Islam,Male
East,Self Employed,111.48,4,5.41,Islam,Male
West,Self Employed,108.66,1,6.53,Christianity,Female
East,Employed,26.52,2,1.39,Islam,Male
West,Employed,423.3,2,71.12,Islam,Female
West,Employed,50.76,2,5.72,Islam,Male
West,Employed,29.1,2,3.08,Islam,Male
West,Employed,529.8,2,32.92,Christianity,Female
West,Employed,315.75,1,28.79,Christianity,Male
West,Employed,38.55,1,1.95,Christianity,Female
North,Unemployed,11.46,1,2.65,Christianity,Male
North,Unemployed,12.36,1,1.57,Christianity,Male
South,Self Employed,109.8,4,14.3,Christianity,Female
South,Self Employed,28.8,1,2.42,Christianity,Male
West,Self Employed,24.09,1,1.65,Christianity,Female
West,Self Employed,17.07,1,1.58,Christianity,Male
East,Self Employed,18.75,1,1.49,Islam,Male
East,Self Employed,527.16,2,82.29,Christianity,Female
East,Self Employed,266.91,1,26.26,Christianity,Male
East,Self Employed,128.43,1,15.87,Christianity,Female
West,Self Employed,28.23,1,3.39,Christianity,Male
East,Self Employed,26.1,1,3.35,Islam,Male
South,Self Employed,255.78,2,65.79,Islam,Female
West,Self Employed,59.82,2,5,Christianity,Male
West,Employed,1083.54,2,76.32,Christianity,Female
West,Employed,290.7,2,34.56,Christianity,Male
West,Employed,49.71,1,1.8,Christianity,Male
West,Employed,19.2,1,1.76,Christianity,Female
West,Employed,424.2,2,38.69,Islam,Male
West,Employed,170.73,1,21.25,Christianity,Female
West,Self Employed,695.16,4,2.55,Christianity,Male
West,Self Employed,8.85,1,1.7,Christianity,Male
North,Self Employed,1799.1,6,274.75,Islam,Female
North,Self Employed,27.36,4,4,Islam,Male
North,Unemployed,27.93,1,1.71,Islam,Female
